# train_loss,val_loss
2.338172644376754761e-01,2.184139192104339600e-01
2.175298035144805908e-01,2.042805105447769165e-01
2.031033635139465332e-01,1.932320743799209595e-01
1.935528516769409180e-01,1.861458569765090942e-01
1.849799901247024536e-01,1.708609014749526978e-01
1.644386351108551025e-01,1.468653380870819092e-01
1.411684006452560425e-01,1.273840069770812988e-01
1.197656095027923584e-01,1.034227311611175537e-01
9.788944572210311890e-02,8.992543816566467285e-02
8.516015112400054932e-02,7.446280866861343384e-02
7.028373330831527710e-02,6.422349810600280762e-02
6.090432032942771912e-02,5.274028331041336060e-02
4.787705466151237488e-02,4.069181904196739197e-02
3.259773924946784973e-02,2.088718488812446594e-02
1.524434424936771393e-02,1.193023286759853363e-02
1.039341744035482407e-02,1.162886712700128555e-02
1.030980050563812256e-02,1.103866379708051682e-02
9.361702948808670044e-03,9.680949151515960693e-03
8.125635795295238495e-03,8.773995563387870789e-03
7.461689412593841553e-03,8.482686243951320648e-03
7.240878883749246597e-03,8.278880268335342407e-03
7.066175807267427444e-03,8.078139275312423706e-03
6.850707344710826874e-03,7.895055226981639862e-03
6.686282344162464142e-03,7.722028531134128571e-03
6.564129143953323364e-03,7.620086893439292908e-03
6.446370854973793030e-03,7.507982663810253143e-03
6.343251094222068787e-03,7.387828081846237183e-03
6.242486648261547089e-03,7.310306653380393982e-03
6.148673593997955322e-03,7.207462564110755920e-03
6.055939942598342896e-03,7.098281756043434143e-03
5.966540426015853882e-03,6.992588751018047333e-03
5.881597287952899933e-03,6.891931407153606415e-03
5.799972917884588242e-03,6.836241111159324646e-03
5.715235136449337006e-03,6.737609393894672394e-03
5.631041713058948517e-03,6.625354755669832230e-03
5.559764802455902100e-03,6.540345959365367889e-03
5.472430493682622910e-03,6.477563176304101944e-03
5.404875613749027252e-03,6.405216641724109650e-03
5.333360750228166580e-03,6.302101537585258484e-03
5.256223492324352264e-03,6.221620831638574600e-03
5.186979193240404129e-03,6.153988651931285858e-03
5.118378438055515289e-03,6.078963167965412140e-03
5.081052891910076141e-03,5.981423892080783844e-03
