# train_loss,val_loss
8.501024246215820312e+00,8.082188606262207031e+00
7.928589344024658203e+00,7.760958671569824219e+00
7.623621940612792969e+00,7.467042922973632812e+00
7.332840919494628906e+00,7.180790424346923828e+00
7.049388885498046875e+00,6.901237964630126953e+00
6.773025512695312500e+00,6.628819465637207031e+00
6.503314971923828125e+00,6.362476825714111328e+00
6.239749908447265625e+00,6.102099418640136719e+00
5.982066631317138672e+00,5.847394943237304688e+00
5.729909420013427734e+00,5.598064422607421875e+00
5.482947826385498047e+00,5.353859901428222656e+00
5.241088390350341797e+00,5.114596366882324219e+00
5.004055023193359375e+00,4.880139827728271484e+00
4.771825790405273438e+00,4.650430679321289062e+00
4.544323444366455078e+00,4.425461769104003906e+00
4.321599483489990234e+00,4.205296039581298828e+00
4.103701591491699219e+00,3.990065813064575195e+00
3.890846014022827148e+00,3.779959201812744141e+00
3.683238267898559570e+00,3.575226068496704102e+00
3.481131792068481445e+00,3.376166582107543945e+00
3.284835338592529297e+00,3.183120250701904297e+00
3.094743728637695312e+00,2.996433973312377930e+00
2.911163330078125000e+00,2.816484451293945312e+00
2.734507083892822266e+00,2.643629550933837891e+00
2.565092802047729492e+00,2.478191614151000977e+00
2.403239488601684570e+00,2.320457935333251953e+00
2.249184370040893555e+00,2.170659065246582031e+00
2.103155612945556641e+00,2.028949499130249023e+00
1.965266585350036621e+00,1.895414352416992188e+00
1.835559368133544922e+00,1.770049333572387695e+00
1.713978528976440430e+00,1.652777552604675293e+00
1.600431919097900391e+00,1.543447136878967285e+00
1.494700789451599121e+00,1.441829442977905273e+00
1.396361827850341797e+00,1.347123980522155762e+00
1.304764747619628906e+00,1.259141087532043457e+00
1.219392776489257812e+00,1.173589706420898438e+00
1.139392375946044922e+00,1.098557233810424805e+00
1.066662669181823730e+00,1.028956532478332520e+00
9.992666840553283691e-01,9.636412858963012695e-01
9.359437823295593262e-01,9.002882838249206543e-01
8.768129944801330566e-01,8.445976972579956055e-01
8.225811123847961426e-01,7.934434413909912109e-01
7.730349898338317871e-01,7.465575337409973145e-01
7.275977134704589844e-01,7.035436034202575684e-01
6.859463453292846680e-01,6.640752553939819336e-01
6.476813554763793945e-01,6.277765631675720215e-01
6.127217411994934082e-01,5.944994688034057617e-01
5.804689526557922363e-01,5.638522505760192871e-01
5.509563088417053223e-01,5.356878638267517090e-01
5.238257050514221191e-01,5.098087787628173828e-01
4.988167285919189453e-01,4.858957231044769287e-01
4.756943285465240479e-01,4.639087617397308350e-01
4.544136524200439453e-01,4.435805380344390869e-01
4.347925186157226562e-01,4.248339235782623291e-01
4.167320430278778076e-01,4.075067639350891113e-01
3.999209403991699219e-01,3.914747834205627441e-01
3.844918608665466309e-01,3.766269385814666748e-01
3.701244294643402100e-01,3.628728985786437988e-01
3.568569421768188477e-01,3.501379191875457764e-01
3.473755717277526855e-01,3.458932042121887207e-01
3.446590602397918701e-01,3.433783054351806641e-01
3.421302437782287598e-01,3.408405780792236328e-01
3.395693004131317139e-01,3.383346199989318848e-01
3.370835483074188232e-01,3.358587026596069336e-01
3.345833420753479004e-01,3.333645761013031006e-01
3.320890367031097412e-01,3.308957219123840332e-01
3.296227753162384033e-01,3.284422755241394043e-01
3.271995186805725098e-01,3.260022699832916260e-01
3.247770071029663086e-01,3.235875964164733887e-01
3.223176896572113037e-01,3.211960792541503906e-01
3.199207484722137451e-01,3.188121020793914795e-01
3.175332546234130859e-01,3.165549933910369873e-01
3.151820003986358643e-01,3.140759766101837158e-01
3.128226101398468018e-01,3.117317855358123779e-01
3.104660809040069580e-01,3.094114959239959717e-01
3.081692457199096680e-01,3.071427643299102783e-01
3.058893978595733643e-01,3.048295378684997559e-01
3.036124408245086670e-01,3.025712072849273682e-01
3.013332784175872803e-01,3.003189861774444580e-01
2.990990281105041504e-01,2.981021106243133545e-01
2.968888282775878906e-01,2.959158122539520264e-01
2.946838438510894775e-01,2.937155067920684814e-01
2.925118207931518555e-01,2.915557324886322021e-01
2.903554141521453857e-01,2.893941700458526611e-01
2.882250845432281494e-01,2.872700989246368408e-01
2.860710620880126953e-01,2.851691246032714844e-01
2.839999198913574219e-01,2.830812335014343262e-01
2.819199860095977783e-01,2.810246944427490234e-01
2.798675000667572021e-01,2.789730727672576904e-01
2.778408825397491455e-01,2.769605815410614014e-01
2.758011817932128906e-01,2.749620676040649414e-01
2.738034129142761230e-01,2.729739844799041748e-01
2.718309164047241211e-01,2.710338234901428223e-01
2.699149549007415771e-01,2.690750956535339355e-01
2.679606974124908447e-01,2.671699523925781250e-01
2.660734951496124268e-01,2.652742266654968262e-01
2.641778886318206787e-01,2.634079456329345703e-01
2.623154222965240479e-01,2.615532577037811279e-01
2.604802250862121582e-01,2.597313821315765381e-01
2.586608529090881348e-01,2.579264938831329346e-01
2.568944096565246582e-01,2.561594545841217041e-01
2.550890147686004639e-01,2.543740272521972656e-01
2.533565163612365723e-01,2.526575922966003418e-01
2.516240775585174561e-01,2.509163320064544678e-01
2.498783916234970093e-01,2.492207586765289307e-01
2.481908947229385376e-01,2.475448250770568848e-01
2.465447932481765747e-01,2.458928972482681274e-01
2.448980510234832764e-01,2.442643940448760986e-01
2.432559430599212646e-01,2.426498532295227051e-01
2.416674792766571045e-01,2.410626709461212158e-01
2.400944083929061890e-01,2.394883930683135986e-01
2.385275661945343018e-01,2.379463911056518555e-01
2.369959503412246704e-01,2.364124804735183716e-01
2.354813665151596069e-01,2.349116653203964233e-01
2.339780628681182861e-01,2.334340512752532959e-01
2.325126677751541138e-01,2.319619357585906982e-01
2.310326993465423584e-01,2.305182367563247681e-01
2.296050041913986206e-01,2.290986776351928711e-01
2.281985133886337280e-01,2.277069240808486938e-01
2.268008887767791748e-01,2.263102680444717407e-01
2.254324704408645630e-01,2.249616533517837524e-01
2.240707129240036011e-01,2.236052602529525757e-01
2.227293103933334351e-01,2.223009765148162842e-01
2.214157283306121826e-01,2.209830582141876221e-01
2.201451808214187622e-01,2.197023332118988037e-01
2.188577651977539062e-01,2.184683531522750854e-01
2.176349759101867676e-01,2.171949446201324463e-01
2.163723111152648926e-01,2.159760594367980957e-01
2.151746004819869995e-01,2.147787511348724365e-01
2.139464467763900757e-01,2.135769724845886230e-01
2.127756774425506592e-01,2.124034911394119263e-01
2.116034775972366333e-01,2.112609893083572388e-01
2.104832381010055542e-01,2.101707756519317627e-01
2.093587219715118408e-01,2.090157121419906616e-01
2.082291245460510254e-01,2.079308480024337769e-01
2.071530818939208984e-01,2.068281620740890503e-01
2.060674279928207397e-01,2.057852149009704590e-01
2.050191462039947510e-01,2.047374248504638672e-01
2.039745748043060303e-01,2.037054896354675293e-01
2.029687315225601196e-01,2.026902735233306885e-01
2.019518017768859863e-01,2.017533481121063232e-01
2.009609788656234741e-01,2.007146030664443970e-01
2.000075280666351318e-01,1.997576802968978882e-01
1.990450024604797363e-01,1.988162398338317871e-01
1.980987489223480225e-01,1.978826820850372314e-01
1.971715241670608521e-01,1.970189362764358521e-01
1.962699741125106812e-01,1.960797160863876343e-01
1.953807175159454346e-01,1.951923817396163940e-01
1.945081204175949097e-01,1.943338513374328613e-01
1.936557590961456299e-01,1.934792101383209229e-01
1.928051710128784180e-01,1.926807314157485962e-01
1.919924914836883545e-01,1.918414533138275146e-01
1.911608129739761353e-01,1.910531371831893921e-01
1.903621405363082886e-01,1.902228742837905884e-01
1.895890533924102783e-01,1.894497424364089966e-01
1.887987256050109863e-01,1.886774748563766479e-01
1.880527287721633911e-01,1.879630088806152344e-01
1.872912049293518066e-01,1.871944814920425415e-01
1.865592598915100098e-01,1.864930093288421631e-01
1.858681887388229370e-01,1.857811212539672852e-01
1.851530373096466064e-01,1.850591599941253662e-01
1.844820976257324219e-01,1.843985766172409058e-01
1.837744712829589844e-01,1.837060749530792236e-01
1.830923110246658325e-01,1.830450147390365601e-01
1.824368834495544434e-01,1.824874877929687500e-01
1.818305402994155884e-01,1.817655414342880249e-01
1.811747103929519653e-01,1.811413615942001343e-01
1.805596351623535156e-01,1.805288195610046387e-01
1.799928992986679077e-01,1.799324750900268555e-01
1.793681979179382324e-01,1.793522238731384277e-01
1.787676662206649780e-01,1.787669360637664795e-01
1.782043278217315674e-01,1.782187819480895996e-01
1.776716709136962891e-01,1.777095198631286621e-01
1.771437227725982666e-01,1.771093308925628662e-01
1.765818893909454346e-01,1.765939444303512573e-01
1.760408729314804077e-01,1.760581433773040771e-01
1.755332499742507935e-01,1.755420565605163574e-01
1.750060170888900757e-01,1.750670373439788818e-01
1.745117604732513428e-01,1.745581626892089844e-01
1.740262657403945923e-01,1.741279661655426025e-01
1.735467165708541870e-01,1.736032813787460327e-01
1.730905324220657349e-01,1.731599420309066772e-01
1.726353019475936890e-01,1.726815551519393921e-01
1.721737235784530640e-01,1.722397506237030029e-01
1.717175543308258057e-01,1.718621253967285156e-01
1.713003963232040405e-01,1.713944226503372192e-01
1.708840280771255493e-01,1.709677129983901978e-01
1.704392135143280029e-01,1.705603748559951782e-01
1.700506657361984253e-01,1.701745390892028809e-01
1.696671396493911743e-01,1.697659939527511597e-01
1.692861169576644897e-01,1.694174110889434814e-01
1.688882708549499512e-01,1.690202802419662476e-01
1.685168892145156860e-01,1.686416268348693848e-01
1.681573987007141113e-01,1.682823151350021362e-01
1.677914708852767944e-01,1.679340600967407227e-01
1.674550324678421021e-01,1.675872057676315308e-01
1.671151667833328247e-01,1.672548502683639526e-01
1.667993813753128052e-01,1.669303327798843384e-01
1.664570122957229614e-01,1.666255593299865723e-01
1.661469638347625732e-01,1.662915050983428955e-01
1.658419966697692871e-01,1.660262495279312134e-01
1.655447930097579956e-01,1.656988412141799927e-01
1.652548760175704956e-01,1.654227972030639648e-01
1.649539768695831299e-01,1.651101261377334595e-01
1.646579653024673462e-01,1.648262888193130493e-01
1.643973439931869507e-01,1.645536720752716064e-01
1.641073673963546753e-01,1.642857789993286133e-01
1.638385802507400513e-01,1.640312224626541138e-01
1.635868996381759644e-01,1.637654304504394531e-01
1.633420437574386597e-01,1.635672152042388916e-01
1.631302386522293091e-01,1.632811427116394043e-01
1.628596931695938110e-01,1.630387306213378906e-01
1.626102924346923828e-01,1.628080755472183228e-01
1.623703539371490479e-01,1.625812649726867676e-01
1.621780544519424438e-01,1.623923182487487793e-01
1.619560718536376953e-01,1.621434688568115234e-01
1.617158353328704834e-01,1.619312614202499390e-01
1.615122109651565552e-01,1.617234796285629272e-01
1.613102704286575317e-01,1.615290194749832153e-01
1.611142605543136597e-01,1.613330543041229248e-01
1.609266847372055054e-01,1.611517518758773804e-01
1.607347875833511353e-01,1.609531342983245850e-01
1.605456471443176270e-01,1.608132719993591309e-01
1.603861600160598755e-01,1.606021076440811157e-01
1.601928770542144775e-01,1.604264527559280396e-01
1.600178033113479614e-01,1.602569967508316040e-01
1.598606258630752563e-01,1.601245254278182983e-01
1.596960127353668213e-01,1.599359810352325439e-01
1.595448553562164307e-01,1.598265022039413452e-01
1.593888849020004272e-01,1.596287637948989868e-01
1.592510193586349487e-01,1.595115512609481812e-01
1.591027975082397461e-01,1.593466401100158691e-01
1.589700430631637573e-01,1.593130230903625488e-01
1.588277071714401245e-01,1.591964215040206909e-01
1.587141454219818115e-01,1.589742451906204224e-01
1.585667580366134644e-01,1.588229835033416748e-01
1.584142148494720459e-01,1.587071269750595093e-01
1.583030223846435547e-01,1.585757285356521606e-01
1.581840068101882935e-01,1.584608554840087891e-01
1.580729633569717407e-01,1.583512276411056519e-01
1.579594761133193970e-01,1.583097279071807861e-01
1.578890830278396606e-01,1.581292897462844849e-01
1.577406525611877441e-01,1.580314040184020996e-01
1.576547771692276001e-01,1.579221785068511963e-01
1.575954109430313110e-01,1.579280942678451538e-01
1.574743688106536865e-01,1.577320396900177002e-01
1.573625504970550537e-01,1.576412916183471680e-01
1.572513878345489502e-01,1.575533747673034668e-01
1.571699678897857666e-01,1.574733704328536987e-01
1.571044325828552246e-01,1.573849022388458252e-01
1.570152044296264648e-01,1.573595404624938965e-01
1.569599658250808716e-01,1.573653817176818848e-01
1.569146066904067993e-01,1.571852862834930420e-01
1.567812711000442505e-01,1.571031361818313599e-01
1.567329764366149902e-01,1.570414602756500244e-01
1.566514223814010620e-01,1.569874882698059082e-01
1.566041409969329834e-01,1.569253355264663696e-01
1.565401703119277954e-01,1.568724811077117920e-01
1.564768850803375244e-01,1.567937284708023071e-01
1.564528048038482666e-01,1.567463278770446777e-01
1.563884019851684570e-01,1.567065417766571045e-01
1.563131213188171387e-01,1.566412597894668579e-01
1.562735438346862793e-01,1.565892696380615234e-01
1.562364101409912109e-01,1.565748751163482666e-01
1.561988741159439087e-01,1.565150618553161621e-01
1.561492234468460083e-01,1.564918458461761475e-01
1.561264395713806152e-01,1.564440727233886719e-01
1.560783833265304565e-01,1.564103960990905762e-01
1.560593098402023315e-01,1.563851535320281982e-01
1.560339778661727905e-01,1.563651263713836670e-01
1.560143083333969116e-01,1.563265919685363770e-01
1.559786647558212280e-01,1.563184559345245361e-01
1.559455841779708862e-01,1.562929898500442505e-01
1.559209078550338745e-01,1.562657356262207031e-01
1.559137254953384399e-01,1.562627255916595459e-01
1.559008955955505371e-01,1.562778204679489136e-01
1.558999568223953247e-01,1.562287807464599609e-01
1.559232920408248901e-01,1.564481705427169800e-01
1.558920890092849731e-01,1.562418192625045776e-01
1.558602452278137207e-01,1.562013030052185059e-01
1.558526605367660522e-01,1.562256217002868652e-01
1.558434069156646729e-01,1.562244445085525513e-01
1.558449715375900269e-01,1.561827212572097778e-01
1.558285057544708252e-01,1.563106775283813477e-01
1.558687984943389893e-01,1.561715453863143921e-01
1.558300852775573730e-01,1.561889648437500000e-01
1.558307260274887085e-01,1.561672985553741455e-01
1.558295041322708130e-01,1.561925560235977173e-01
1.558137685060501099e-01,1.561740487813949585e-01
1.558186113834381104e-01,1.561667472124099731e-01
1.558165550231933594e-01,1.561743468046188354e-01
1.558182984590530396e-01,1.561715453863143921e-01
1.558281332254409790e-01,1.561877131462097168e-01
1.558233797550201416e-01,1.561663150787353516e-01
