# train_loss,val_loss
8.071199417114257812e+00,7.763029575347900391e+00
7.482582092285156250e+00,7.190902233123779297e+00
6.924819469451904297e+00,6.647624015808105469e+00
6.394089698791503906e+00,6.129512786865234375e+00
5.886982440948486328e+00,5.633552551269531250e+00
5.400961399078369141e+00,5.157642841339111328e+00
4.934234142303466797e+00,4.700409889221191406e+00
4.485890388488769531e+00,4.261414527893066406e+00
4.056056499481201172e+00,3.841356754302978516e+00
3.645801067352294922e+00,3.441710472106933594e+00
3.256996631622314453e+00,3.064705133438110352e+00
2.892130136489868164e+00,2.713020324707031250e+00
2.553845643997192383e+00,2.389213800430297852e+00
2.244544029235839844e+00,2.095348596572875977e+00
1.965731501579284668e+00,1.832475900650024414e+00
1.718030095100402832e+00,1.600705623626708984e+00
1.500826478004455566e+00,1.398514270782470703e+00
1.312515139579772949e+00,1.224269986152648926e+00
1.150791525840759277e+00,1.075235486030578613e+00
1.012869358062744141e+00,9.484812617301940918e-01
8.958316445350646973e-01,8.411409258842468262e-01
7.968150973320007324e-01,7.504386305809020996e-01
7.131373882293701172e-01,6.737230420112609863e-01
6.423434019088745117e-01,6.088297367095947266e-01
5.824592709541320801e-01,5.538893342018127441e-01
5.316892862319946289e-01,5.072664618492126465e-01
4.711740016937255859e-01,4.174132347106933594e-01
3.874587118625640869e-01,3.646921813488006592e-01
3.474232554435729980e-01,3.288794755935668945e-01
3.141406774520874023e-01,2.980929613113403320e-01
2.930167615413665771e-01,2.808395028114318848e-01
2.722350358963012695e-01,2.603120803833007812e-01
2.576088011264801025e-01,2.538159489631652832e-01
2.512486875057220459e-01,2.479354441165924072e-01
2.450352609157562256e-01,2.414594441652297974e-01
2.388650476932525635e-01,2.353019863367080688e-01
2.328597754240036011e-01,2.292989939451217651e-01
2.268473953008651733e-01,2.234205603599548340e-01
2.209973931312561035e-01,2.176650464534759521e-01
2.152297943830490112e-01,2.119698524475097656e-01
2.095457762479782104e-01,2.062377184629440308e-01
2.039294689893722534e-01,2.007101178169250488e-01
1.984961181879043579e-01,1.952829509973526001e-01
1.930859535932540894e-01,1.901186555624008179e-01
1.878008842468261719e-01,1.847041994333267212e-01
1.825896203517913818e-01,1.795845031738281250e-01
1.775031089782714844e-01,1.745854169130325317e-01
1.725418269634246826e-01,1.696974933147430420e-01
1.676343530416488647e-01,1.649773269891738892e-01
1.628916114568710327e-01,1.601541191339492798e-01
1.582167744636535645e-01,1.554731875658035278e-01
1.536245942115783691e-01,1.509698033332824707e-01
1.491874754428863525e-01,1.465953737497329712e-01
1.448448896408081055e-01,1.423424780368804932e-01
1.405495256185531616e-01,1.380486637353897095e-01
1.363656073808670044e-01,1.339625418186187744e-01
1.323299705982208252e-01,1.300100237131118774e-01
1.283513158559799194e-01,1.260703057050704956e-01
1.245107725262641907e-01,1.222899109125137329e-01
1.207932531833648682e-01,1.186358481645584106e-01
1.171043664216995239e-01,1.149932220578193665e-01
1.135689988732337952e-01,1.114728376269340515e-01
1.101152822375297546e-01,1.082369163632392883e-01
1.067299172282218933e-01,1.047297269105911255e-01
1.034411489963531494e-01,1.015395745635032654e-01
1.002685874700546265e-01,9.836678951978683472e-02
9.719716757535934448e-02,9.531079977750778198e-02
9.415718913078308105e-02,9.235329926013946533e-02
9.118284285068511963e-02,8.947212249040603638e-02
8.836013823747634888e-02,8.687363564968109131e-02
8.563337475061416626e-02,8.414416760206222534e-02
8.300791680812835693e-02,8.135974407196044922e-02
8.033312112092971802e-02,7.878296822309494019e-02
7.778993993997573853e-02,7.633320987224578857e-02
7.538186758756637573e-02,7.395397871732711792e-02
7.302935421466827393e-02,7.160167396068572998e-02
7.071672379970550537e-02,6.938572227954864502e-02
6.850714236497879028e-02,6.716960668563842773e-02
6.635627150535583496e-02,6.506759673357009888e-02
6.425055116415023804e-02,6.305347383022308350e-02
6.226252764463424683e-02,6.103616580367088318e-02
6.030312553048133850e-02,5.913703516125679016e-02
5.842879787087440491e-02,5.728070810437202454e-02
5.656624957919120789e-02,5.550904199481010437e-02
5.484851449728012085e-02,5.375138670206069946e-02
5.316371843218803406e-02,5.210539326071739197e-02
5.147152021527290344e-02,5.046353861689567566e-02
4.990619421005249023e-02,4.892946034669876099e-02
4.839092493057250977e-02,4.773028939962387085e-02
4.694085568189620972e-02,4.597473517060279846e-02
4.546509310603141785e-02,4.458583891391754150e-02
4.406414926052093506e-02,4.324174299836158752e-02
4.274861142039299011e-02,4.194628447294235229e-02
4.149861633777618408e-02,4.076799377799034119e-02
4.027476161718368530e-02,3.952779248356819153e-02
3.910057246685028076e-02,3.854547068476676941e-02
3.802851215004920959e-02,3.731651976704597473e-02
3.687988966703414917e-02,3.624280542135238647e-02
3.585068136453628540e-02,3.520828112959861755e-02
3.488174825906753540e-02,3.441833704710006714e-02
3.395181894302368164e-02,3.332916647195816040e-02
3.301625698804855347e-02,3.247508034110069275e-02
3.215053305029869080e-02,3.161725401878356934e-02
3.140085190534591675e-02,3.081900626420974731e-02
3.058250434696674347e-02,3.012503683567047119e-02
2.983788587152957916e-02,2.936691045761108398e-02
2.917454950511455536e-02,2.872670441865921021e-02
2.849653176963329315e-02,2.810984849929809570e-02
2.799150161445140839e-02,2.753864228725433350e-02
2.733233198523521423e-02,2.713821083307266235e-02
2.685975842177867889e-02,2.651600353419780731e-02
2.650227956473827362e-02,2.621110714972019196e-02
2.595350146293640137e-02,2.582752145826816559e-02
2.561273612082004547e-02,2.535792626440525055e-02
2.531596831977367401e-02,2.524031698703765869e-02
2.505465224385261536e-02,2.479371055960655212e-02
2.478959970176219940e-02,2.460605837404727936e-02
2.462206594645977020e-02,2.450144663453102112e-02
2.454379759728908539e-02,2.438920177519321442e-02
2.440301515161991119e-02,2.447980269789695740e-02
2.437253110110759735e-02,2.428667619824409485e-02
2.432309277355670929e-02,2.424650266766548157e-02
2.432223781943321228e-02,2.420886047184467316e-02
2.429206110537052155e-02,2.421133778989315033e-02
2.431782521307468414e-02,2.455653436481952667e-02
2.434706315398216248e-02,2.422914281487464905e-02
2.429801225662231445e-02,2.422284521162509918e-02
2.427134476602077484e-02,2.420967444777488708e-02
2.429690025746822357e-02,2.426787093281745911e-02
2.428605966269969940e-02,2.422139793634414673e-02
2.428982593119144440e-02,2.421755157411098480e-02
