# train_loss,val_loss
6.108006000518798828e+00,4.100798130035400391e+00
2.614042997360229492e+00,1.445807814598083496e+00
8.988984227180480957e-01,5.487793087959289551e-01
3.837986290454864502e-01,2.919948399066925049e-01
2.699635624885559082e-01,2.481577247381210327e-01
2.289811819791793823e-01,2.102477252483367920e-01
1.943428963422775269e-01,1.789083033800125122e-01
1.661620289087295532e-01,1.538151353597640991e-01
1.439098119735717773e-01,1.342773586511611938e-01
1.024513915181159973e-01,6.142057105898857117e-02
5.364440381526947021e-02,4.631811380386352539e-02
4.079756140708923340e-02,3.560771793127059937e-02
3.193439170718193054e-02,2.855913527309894562e-02
2.652495354413986206e-02,2.486370131373405457e-02
2.460640482604503632e-02,2.453699149191379547e-02
2.448047697544097900e-02,2.434354647994041443e-02
2.445428073406219482e-02,2.443123050034046173e-02
2.444148063659667969e-02,2.435316145420074463e-02
2.443028241395950317e-02,2.430615574121475220e-02
2.442190982401371002e-02,2.429527044296264648e-02
2.441114000976085663e-02,2.431373856961727142e-02
2.440088987350463867e-02,2.431520447134971619e-02
2.438231185078620911e-02,2.429454214870929718e-02
2.436660975217819214e-02,2.425426431000232697e-02
2.435549721121788025e-02,2.424390800297260284e-02
2.433042228221893311e-02,2.423192560672760010e-02
2.431668713688850403e-02,2.426649630069732666e-02
2.429045923054218292e-02,2.421714924275875092e-02
2.427529729902744293e-02,2.416304498910903931e-02
2.422799728810787201e-02,2.425315417349338531e-02
2.418030798435211182e-02,2.404246293008327484e-02
2.410021610558032990e-02,2.395914494991302490e-02
2.397840283811092377e-02,2.381948567926883698e-02
2.380842342972755432e-02,2.364076860249042511e-02
2.347052469849586487e-02,2.308692783117294312e-02
2.254120074212551117e-02,2.143933065235614777e-02
1.786755397915840149e-02,5.858999677002429962e-03
2.027574228122830391e-03,1.704041846096515656e-03
1.736170030198991299e-03,1.784972730092704296e-03
1.734813093207776546e-03,1.716619473882019520e-03
1.719230902381241322e-03,1.634229090996086597e-03
1.701063592918217182e-03,1.744178705848753452e-03
1.679421402513980865e-03,1.596967806108295918e-03
1.672011450864374638e-03,1.623520744033157825e-03
1.661597983911633492e-03,1.649903948418796062e-03
1.652198727242648602e-03,1.592440647073090076e-03
1.650153077207505703e-03,1.596043002791702747e-03
1.635322463698685169e-03,1.587683451361954212e-03
1.635393360629677773e-03,1.597782131284475327e-03
1.622272655367851257e-03,1.579006901010870934e-03
1.618363196030259132e-03,1.572580426000058651e-03
1.604314544238150120e-03,1.564915175549685955e-03
1.605356461368501186e-03,1.557825133204460144e-03
1.592770568095147610e-03,1.535274321213364601e-03
1.584522426128387451e-03,1.544195809401571751e-03
1.565602608025074005e-03,1.554541639052331448e-03
1.568391104228794575e-03,1.529970555566251278e-03
1.555830473080277443e-03,1.560953096486628056e-03
1.549445209093391895e-03,1.523937564343214035e-03
1.549160573631525040e-03,1.507931039668619633e-03
1.540792756713926792e-03,1.496093464083969593e-03
1.532491995021700859e-03,1.489786664023995399e-03
1.534498645924031734e-03,1.600519986823201180e-03
1.532690250314772129e-03,1.529142144136130810e-03
1.521102152764797211e-03,1.485818997025489807e-03
1.510854344815015793e-03,1.565604470670223236e-03
1.515484182164072990e-03,1.472388627007603645e-03
1.507528242655098438e-03,1.515758573077619076e-03
1.509385067038238049e-03,1.482399762608110905e-03
1.505280495621263981e-03,1.482762512750923634e-03
1.499888603575527668e-03,1.467121881432831287e-03
1.495664939284324646e-03,1.472612959332764149e-03
1.492777490057051182e-03,1.488853129558265209e-03
1.495367032475769520e-03,1.492118462920188904e-03
1.493119983933866024e-03,1.473025069572031498e-03
1.481540268287062645e-03,1.465350273065268993e-03
1.485351123847067356e-03,1.449406030587852001e-03
1.479613478295505047e-03,1.505171298049390316e-03
1.479612779803574085e-03,1.466765068471431732e-03
1.468611182644963264e-03,1.462680054828524590e-03
1.480025937780737877e-03,1.481115585193037987e-03
1.460644067265093327e-03,1.450846088118851185e-03
1.462887041270732880e-03,1.452341442927718163e-03
1.467454363591969013e-03,1.458625425584614277e-03
1.464303466491401196e-03,1.492146984674036503e-03
