# train_loss,val_loss
8.073346138000488281e+00,7.764820098876953125e+00
7.484030723571777344e+00,7.192206382751464844e+00
6.925920486450195312e+00,6.648627281188964844e+00
6.394987583160400391e+00,6.130380153656005859e+00
5.887850761413574219e+00,5.634444236755371094e+00
5.401870250701904297e+00,5.158598423004150391e+00
4.935237407684326172e+00,4.701477527618408203e+00
4.487051963806152344e+00,4.262675285339355469e+00
4.057378768920898438e+00,3.842759847640991211e+00
3.647257566452026367e+00,3.443241596221923828e+00
3.258577823638916016e+00,3.066362619400024414e+00
2.893821954727172852e+00,2.714793443679809570e+00
2.555678129196166992e+00,2.391149997711181641e+00
2.246546268463134766e+00,2.097529649734497070e+00
1.968097329139709473e+00,1.835100293159484863e+00
1.720951318740844727e+00,1.603891372680664062e+00
1.504578828811645508e+00,1.402804255485534668e+00
1.317407250404357910e+00,1.229821324348449707e+00
1.157085657119750977e+00,1.082291007041931152e+00
1.020789384841918945e+00,9.572617411613464355e-01
9.055236577987670898e-01,8.517327308654785156e-01
8.083509802818298340e-01,7.628567218780517578e-01
7.265438437461853027e-01,6.880500316619873047e-01
6.576706767082214355e-01,6.250402927398681641e-01
5.996155738830566406e-01,5.718765854835510254e-01
5.505815148353576660e-01,5.269159674644470215e-01
5.090568661689758301e-01,4.887813925743103027e-01
4.737834036350250244e-01,4.563322961330413818e-01
4.437217712402343750e-01,4.286285042762756348e-01
4.180128276348114014e-01,4.048924446105957031e-01
3.964159488677978516e-01,3.884287774562835693e-01
3.877162635326385498e-01,3.843716681003570557e-01
3.836802840232849121e-01,3.803560733795166016e-01
3.796847760677337646e-01,3.763821423053741455e-01
3.757325112819671631e-01,3.724533021450042725e-01
3.718270659446716309e-01,3.685729801654815674e-01
3.679716289043426514e-01,3.647440969944000244e-01
3.641688227653503418e-01,3.609691262245178223e-01
3.604215979576110840e-01,3.572511672973632812e-01
3.567323088645935059e-01,3.535924553871154785e-01
3.531032204627990723e-01,3.499949276447296143e-01
3.495362997055053711e-01,3.464603722095489502e-01
3.460332155227661133e-01,3.429906666278839111e-01
3.425956070423126221e-01,3.395869433879852295e-01
3.392247259616851807e-01,3.362506031990051270e-01
3.345325887203216553e-01,3.220056295394897461e-01
2.429400235414505005e-01,2.093396782875061035e-01
1.994500756263732910e-01,1.886893510818481445e-01
1.855946034193038940e-01,1.819769442081451416e-01
1.796684712171554565e-01,1.762790083885192871e-01
1.740011870861053467e-01,1.707911640405654907e-01
1.685821712017059326e-01,1.656965017318725586e-01
1.633152067661285400e-01,1.603000760078430176e-01
1.582349091768264771e-01,1.552843600511550903e-01
1.532676666975021362e-01,1.503960788249969482e-01
1.483863592147827148e-01,1.456673294305801392e-01
1.437210142612457275e-01,1.410161107778549194e-01
1.391526013612747192e-01,1.366420239210128784e-01
1.347422450780868530e-01,1.321800649166107178e-01
1.304910480976104736e-01,1.279625296592712402e-01
1.262757480144500732e-01,1.238466352224349976e-01
1.221811398863792419e-01,1.199027150869369507e-01
1.182792484760284424e-01,1.162012740969657898e-01
1.145503520965576172e-01,1.122903376817703247e-01
1.107771918177604675e-01,1.086050868034362793e-01
1.071751117706298828e-01,1.051072180271148682e-01
1.037111133337020874e-01,1.016868725419044495e-01
1.005022749304771423e-01,9.838242828845977783e-02
9.709217399358749390e-02,9.518319368362426758e-02
9.391712397336959839e-02,9.206026047468185425e-02
9.085917472839355469e-02,8.909597992897033691e-02
8.790040761232376099e-02,8.621239662170410156e-02
8.501268178224563599e-02,8.332298696041107178e-02
8.224670588970184326e-02,8.059472590684890747e-02
7.952931523323059082e-02,7.795958220958709717e-02
7.694825530052185059e-02,7.542983442544937134e-02
7.445150613784790039e-02,7.302857935428619385e-02
7.202529907226562500e-02,7.059167325496673584e-02
6.968185305595397949e-02,6.826882809400558472e-02
6.741048395633697510e-02,6.606043130159378052e-02
6.527192145586013794e-02,6.390760093927383423e-02
6.309790164232254028e-02,6.183652579784393311e-02
6.102512031793594360e-02,6.003330647945404053e-02
5.909834802150726318e-02,5.789019912481307983e-02
5.714291334152221680e-02,5.602443590760231018e-02
5.532583966851234436e-02,5.422175675630569458e-02
5.357931554317474365e-02,5.258665978908538818e-02
5.190633609890937805e-02,5.083921179175376892e-02
5.021591857075691223e-02,4.930182546377182007e-02
4.870028793811798096e-02,4.786079004406929016e-02
4.726245254278182983e-02,4.632964730262756348e-02
4.565988108515739441e-02,4.474163055419921875e-02
4.422618076205253601e-02,4.340156167745590210e-02
4.287910461425781250e-02,4.204596579074859619e-02
4.158683866262435913e-02,4.086090624332427979e-02
4.030849784612655640e-02,3.954061493277549744e-02
3.912479057908058167e-02,3.837247937917709351e-02
3.796447068452835083e-02,3.725058212876319885e-02
3.688013926148414612e-02,3.618546202778816223e-02
3.580807894468307495e-02,3.514835983514785767e-02
3.488398715853691101e-02,3.435936570167541504e-02
3.386903554201126099e-02,3.324320539832115173e-02
3.294590860605239868e-02,3.235604614019393921e-02
3.208277747035026550e-02,3.152090683579444885e-02
3.124914504587650299e-02,3.070738539099693298e-02
3.048190101981163025e-02,3.000431135296821594e-02
2.976825274527072906e-02,2.928405441343784332e-02
2.906185202300548553e-02,2.861261367797851562e-02
2.840028144419193268e-02,2.800398319959640503e-02
2.782686427235603333e-02,2.741479873657226562e-02
2.731343358755111694e-02,2.717772126197814941e-02
2.679234743118286133e-02,2.642647549510002136e-02
2.631814591586589813e-02,2.598843537271022797e-02
2.589719370007514954e-02,2.559773437678813934e-02
2.554800920188426971e-02,2.529723942279815674e-02
2.523737028241157532e-02,2.499197609722614288e-02
2.497987635433673859e-02,2.481225691735744476e-02
2.488923631608486176e-02,2.468349225819110870e-02
2.466688305139541626e-02,2.452080696821212769e-02
2.454419992864131927e-02,2.453391067683696747e-02
2.446815557777881622e-02,2.432809397578239441e-02
2.439942769706249237e-02,2.430130913853645325e-02
2.439288422465324402e-02,2.427368983626365662e-02
2.436769194900989532e-02,2.426915615797042847e-02
2.434757165610790253e-02,2.428317070007324219e-02
2.437249198555946350e-02,2.428133785724639893e-02
2.437043190002441406e-02,2.431443147361278534e-02
2.435231581330299377e-02,2.433851920068264008e-02
2.435662411153316498e-02,2.431434392929077148e-02
2.436771616339683533e-02,2.425665967166423798e-02
